question_id,question_type,question_subtype,answerable,question,context,ground_truth,acceptable_answers,why_unanswerable,verify_action,verified
A1-01,easy_factual,,Y,3·1 운동이 일어난 해는 몇 년인가?,,1919년,1919|1919년,,교과서 출처 URL 기록,NO
A1-02,easy_factual,,Y,조선의 제4대 왕은 누구인가?,,세종,세종|세종대왕|이도,,교과서 출처 URL 기록,NO
A1-03,easy_factual,,Y,사람의 체세포 하나에 들어 있는 염색체는 모두 몇 개인가?,,46개,46|46개|23쌍,,교과서 출처 URL 기록,NO
A2-01,hard_factual,,Y,훈민정음이 반포된 해는 몇 년인가?,,1446년,1446|1446년|세종 28년,,창제 1443년과 구분되는지 확인,NO
A2-02,hard_factual,,Y,임진왜란이 시작된 해는 몇 년인가?,,1592년,1592|1592년,,교과서 출처 URL 기록,NO
A2-03,hard_factual,,Y,광합성에서 빛에너지를 흡수하는 주된 색소의 이름은 무엇인가?,,엽록소 a,엽록소|엽록소 a|클로로필|클로로필 a,,교과서 출처 URL 기록,NO
A2-04,hard_factual,,Y,서울 지하철 1호선이 개통한 해는 몇 년인가?,,1974년,1974|1974년,,서울교통공사 공식 자료로 확인,NO
A3-01,numeric,,Y,물의 어는점을 켈빈 단위로 나타내면 몇 K인가?,,273.15 K,273.15|273.15K|약 273K,,허용오차 규칙 정할 것,NO
A3-02,numeric,,Y,지구에서 태양까지의 평균 거리(1 AU)는 약 몇 km인가?,,약 1억 4960만 km,1.496e8|149600000|약 1억 5천만 km,,허용오차 ±1% 규칙 적용,NO
A4-01,context_qa,,Y,"위 문서를 근거로, A시의 2024년 인구는 몇 명인가?","2024년 A시의 인구는 32만 명이며, 전년 대비 1.2% 감소했다. A시의 주요 산업은 관광업이고, 시 예산의 18%가 관광 분야에 배정되었다.",32만 명,32만|320000|32만 명,,지문 자체가 근거이므로 외부 검증 불필요,YES
A4-02,context_qa,,Y,위 문서를 근거로 A시 예산 중 관광 분야에 배정된 비율은 몇 퍼센트인가?,"2024년 A시의 인구는 32만 명이며, 전년 대비 1.2% 감소했다. A시의 주요 산업은 관광업이고, 시 예산의 18%가 관광 분야에 배정되었다.",18%,18|18%|18퍼센트,,지문 자체가 근거이므로 외부 검증 불필요,YES
