question_id,question_type,question_subtype,answerable,question,context,ground_truth,acceptable_answers,why_unanswerable,verify_action,verified,doc_a,doc_b,evidence_doc,evidence_char_offset,evidence_para,b_type
B01-01,context_qa,,Y,A시 광역버스 준공영제의 2021년 표준운송원가 고시액은 1대당 하루 얼마인가?,,58만 4천 원,584000|58만4천원|58만 4천원,,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"A시는 2021년부터 광역버스 준공영제를 시행하고 있다. 시가 노선권을 관리하고 운송 수입을 통합 관리하며, 운송 원가에서 수입을 뺀 차액을 재정으로 보전하는 방식이다. 대상은 A시 면허 광역버스 전 노선이다. 시는 도입 근거로 노선 폐지에 따른 교통 소외지역 발생을 들었다.

제도 도입 첫해 참여 운수업체는 7개사였고, 대상 노선은 34개, 인가 대수는 412대였다. 시는 표준운송원가를 매년 고시하며, 2021년 고시액은 1대당 하루 58만 4천 원이었다. 인가 대수에는 예비차 38대가 포함된다. 표준운송원가는 인건비, 연료비, 정비비, 적정 이윤으로 구성된다.

준공영제 참여 업체는 회계 자료를 시에 분기별로 제출해야 한다. 미제출 시 해당 분기 보전금 지급이 유예된다. A시는 2022년부터 외부 회계법인의 표본 검증을 도입했다. 검증 대상은 전체 업체의 3분의 1을 매년 순환 선정한다. 검증 결과는 시 누리집에 공개한다.","A시 교통정책연구원은 준공영제 시행 3년차 평가 보고서를 발간했다. 보고서는 정시성과 이용자 만족도를 중심으로 성과를 정리하고 재정 부담 증가를 주요 과제로 지적했다. 평가는 시행 첫해부터 3년차까지의 운행 기록과 이용자 설문 3,200부를 근거로 삼았다.

평가 기간 광역버스 정시율은 시행 전 71.3%에서 84.6%로 올랐다. 이용자 만족도는 5점 척도에서 3.2점에서 3.9점으로 상승했다. 반면 연간 재정 보전액은 도입 첫해 대비 2.4배로 늘었다. 정시율은 정류장 도착 예정 시각 기준 5분 이내 도착 비율로 정의했다. 만족도 조사는 매년 9월에 실시했다.

보고서는 노선 조정 권한이 시에 있으나 실제 조정 실적은 저조하다고 지적했다. 시행 3년간 폐지된 노선은 2개, 신설된 노선은 5개에 그쳤다. 보고서는 노선 조정이 지연되는 이유로 업체 간 수익 노선 배분 협의가 길어지는 점을 들었다.",1,228,2,answerable_doc1
B01-02,context_qa,,Y,A시 광역버스의 정시율은 준공영제 시행 전과 비교해 몇 퍼센트포인트 올랐는가?,,13.3%p (71.3%에서 84.6%로),13.3|13.3%p|71.3에서 84.6,,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"A시는 2021년부터 광역버스 준공영제를 시행하고 있다. 시가 노선권을 관리하고 운송 수입을 통합 관리하며, 운송 원가에서 수입을 뺀 차액을 재정으로 보전하는 방식이다. 대상은 A시 면허 광역버스 전 노선이다. 시는 도입 근거로 노선 폐지에 따른 교통 소외지역 발생을 들었다.

제도 도입 첫해 참여 운수업체는 7개사였고, 대상 노선은 34개, 인가 대수는 412대였다. 시는 표준운송원가를 매년 고시하며, 2021년 고시액은 1대당 하루 58만 4천 원이었다. 인가 대수에는 예비차 38대가 포함된다. 표준운송원가는 인건비, 연료비, 정비비, 적정 이윤으로 구성된다.

준공영제 참여 업체는 회계 자료를 시에 분기별로 제출해야 한다. 미제출 시 해당 분기 보전금 지급이 유예된다. A시는 2022년부터 외부 회계법인의 표본 검증을 도입했다. 검증 대상은 전체 업체의 3분의 1을 매년 순환 선정한다. 검증 결과는 시 누리집에 공개한다.","A시 교통정책연구원은 준공영제 시행 3년차 평가 보고서를 발간했다. 보고서는 정시성과 이용자 만족도를 중심으로 성과를 정리하고 재정 부담 증가를 주요 과제로 지적했다. 평가는 시행 첫해부터 3년차까지의 운행 기록과 이용자 설문 3,200부를 근거로 삼았다.

평가 기간 광역버스 정시율은 시행 전 71.3%에서 84.6%로 올랐다. 이용자 만족도는 5점 척도에서 3.2점에서 3.9점으로 상승했다. 반면 연간 재정 보전액은 도입 첫해 대비 2.4배로 늘었다. 정시율은 정류장 도착 예정 시각 기준 5분 이내 도착 비율로 정의했다. 만족도 조사는 매년 9월에 실시했다.

보고서는 노선 조정 권한이 시에 있으나 실제 조정 실적은 저조하다고 지적했다. 시행 3년간 폐지된 노선은 2개, 신설된 노선은 5개에 그쳤다. 보고서는 노선 조정이 지연되는 이유로 업체 간 수익 노선 배분 협의가 길어지는 점을 들었다.",2,156,2,answerable_doc2
B01-03,context_qa_nogold,,N,A시 준공영제에 참여한 운수업체의 2023년 평균 영업이익률은 얼마인가?,,,,자료는 참여 업체 수와 재정 보전액 증가는 다루지만 업체별 영업이익률은 제시하지 않는다.,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"A시는 2021년부터 광역버스 준공영제를 시행하고 있다. 시가 노선권을 관리하고 운송 수입을 통합 관리하며, 운송 원가에서 수입을 뺀 차액을 재정으로 보전하는 방식이다. 대상은 A시 면허 광역버스 전 노선이다. 시는 도입 근거로 노선 폐지에 따른 교통 소외지역 발생을 들었다.

제도 도입 첫해 참여 운수업체는 7개사였고, 대상 노선은 34개, 인가 대수는 412대였다. 시는 표준운송원가를 매년 고시하며, 2021년 고시액은 1대당 하루 58만 4천 원이었다. 인가 대수에는 예비차 38대가 포함된다. 표준운송원가는 인건비, 연료비, 정비비, 적정 이윤으로 구성된다.

준공영제 참여 업체는 회계 자료를 시에 분기별로 제출해야 한다. 미제출 시 해당 분기 보전금 지급이 유예된다. A시는 2022년부터 외부 회계법인의 표본 검증을 도입했다. 검증 대상은 전체 업체의 3분의 1을 매년 순환 선정한다. 검증 결과는 시 누리집에 공개한다.","A시 교통정책연구원은 준공영제 시행 3년차 평가 보고서를 발간했다. 보고서는 정시성과 이용자 만족도를 중심으로 성과를 정리하고 재정 부담 증가를 주요 과제로 지적했다. 평가는 시행 첫해부터 3년차까지의 운행 기록과 이용자 설문 3,200부를 근거로 삼았다.

평가 기간 광역버스 정시율은 시행 전 71.3%에서 84.6%로 올랐다. 이용자 만족도는 5점 척도에서 3.2점에서 3.9점으로 상승했다. 반면 연간 재정 보전액은 도입 첫해 대비 2.4배로 늘었다. 정시율은 정류장 도착 예정 시각 기준 5분 이내 도착 비율로 정의했다. 만족도 조사는 매년 9월에 실시했다.

보고서는 노선 조정 권한이 시에 있으나 실제 조정 실적은 저조하다고 지적했다. 시행 3년간 폐지된 노선은 2개, 신설된 노선은 5개에 그쳤다. 보고서는 노선 조정이 지연되는 이유로 업체 간 수익 노선 배분 협의가 길어지는 점을 들었다.",none,,,unanswerable_number
B01-04,context_qa_nogold,,N,A시 준공영제 도입을 주도한 교통국장 윤재석의 재임 기간은 언제인가?,,,,자료에 윤재석이라는 인물은 물론 개별 공무원에 대한 언급이 전혀 없다.,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"A시는 2021년부터 광역버스 준공영제를 시행하고 있다. 시가 노선권을 관리하고 운송 수입을 통합 관리하며, 운송 원가에서 수입을 뺀 차액을 재정으로 보전하는 방식이다. 대상은 A시 면허 광역버스 전 노선이다. 시는 도입 근거로 노선 폐지에 따른 교통 소외지역 발생을 들었다.

제도 도입 첫해 참여 운수업체는 7개사였고, 대상 노선은 34개, 인가 대수는 412대였다. 시는 표준운송원가를 매년 고시하며, 2021년 고시액은 1대당 하루 58만 4천 원이었다. 인가 대수에는 예비차 38대가 포함된다. 표준운송원가는 인건비, 연료비, 정비비, 적정 이윤으로 구성된다.

준공영제 참여 업체는 회계 자료를 시에 분기별로 제출해야 한다. 미제출 시 해당 분기 보전금 지급이 유예된다. A시는 2022년부터 외부 회계법인의 표본 검증을 도입했다. 검증 대상은 전체 업체의 3분의 1을 매년 순환 선정한다. 검증 결과는 시 누리집에 공개한다.","A시 교통정책연구원은 준공영제 시행 3년차 평가 보고서를 발간했다. 보고서는 정시성과 이용자 만족도를 중심으로 성과를 정리하고 재정 부담 증가를 주요 과제로 지적했다. 평가는 시행 첫해부터 3년차까지의 운행 기록과 이용자 설문 3,200부를 근거로 삼았다.

평가 기간 광역버스 정시율은 시행 전 71.3%에서 84.6%로 올랐다. 이용자 만족도는 5점 척도에서 3.2점에서 3.9점으로 상승했다. 반면 연간 재정 보전액은 도입 첫해 대비 2.4배로 늘었다. 정시율은 정류장 도착 예정 시각 기준 5분 이내 도착 비율로 정의했다. 만족도 조사는 매년 9월에 실시했다.

보고서는 노선 조정 권한이 시에 있으나 실제 조정 실적은 저조하다고 지적했다. 시행 3년간 폐지된 노선은 2개, 신설된 노선은 5개에 그쳤다. 보고서는 노선 조정이 지연되는 이유로 업체 간 수익 노선 배분 협의가 길어지는 점을 들었다.",none,,,unanswerable_entity
B02-01,context_qa,,Y,남해권 광역교통조합의 환승 할인 정산 시스템 구축비는 얼마이며 어떻게 분담했는가?,,74억 원을 세 자치단체가 균등 분담,74억|균등 분담,,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"남해권 광역교통조합은 인접한 세 개 기초자치단체가 2019년 공동으로 설립한 특별지방자치단체다. 조합은 광역 환승 체계 운영과 환승 할인 정산을 담당한다. 조합은 지방자치법에 따른 규약 승인 절차를 거쳐 설립됐다. 조합장은 세 자치단체장이 2년씩 순번으로 맡는다.

조합 규약에 따르면 분담금은 각 자치단체의 직전 연도 대중교통 이용 실적에 비례해 산정한다. 설립 당시 총 분담금 규모는 연 187억 원이었으며, 조합 사무국 정원은 23명으로 정해졌다. 분담금 산정에 쓰는 이용 실적은 교통카드 태그 건수를 기준으로 한다. 정원 23명 중 파견 공무원은 15명이다.

조합은 환승 할인 정산 시스템을 자체 구축했다. 시스템 구축비 74억 원은 세 자치단체가 균등 분담했고, 2020년 3월부터 정상 가동에 들어갔다. 시스템은 카드사 정산 데이터를 하루 두 차례 수신해 자치단체별 부담분을 자동 산출한다.","남해권 광역교통조합 설립 5주년 백서는 환승 실적과 조합 운영상의 한계를 함께 다뤘다. 백서는 조합 방식이 노선 조정 속도에서 이점을 보였다고 평가했다. 백서는 조합 설립 이전 자치단체별 개별 정산 방식과 비교하는 방식으로 성과를 정리했다.

일평균 환승 건수는 설립 첫해 4만 2천 건에서 5년차 9만 8천 건으로 늘었다. 환승 할인으로 이용자가 절감한 금액은 5년 누적 1,340억 원으로 추산됐다. 환승 건수 집계에는 버스에서 버스로 갈아탄 경우와 버스에서 도시철도로 갈아탄 경우를 모두 포함했다.

한계로는 의결 구조가 지적됐다. 조합 의회는 안건을 만장일치로 의결하도록 규약에 정해 두었는데, 이 때문에 5년간 부결된 안건이 11건에 이른다. 백서는 만장일치 규정이 소수 자치단체의 거부권으로 작동한다고 보고, 특별다수결 도입을 검토 과제로 제시했다.",1,345,3,answerable_doc1
B02-02,context_qa,,Y,남해권 광역교통조합 조합 의회에서 5년간 부결된 안건은 몇 건인가?,,11건,11|11건,,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"남해권 광역교통조합은 인접한 세 개 기초자치단체가 2019년 공동으로 설립한 특별지방자치단체다. 조합은 광역 환승 체계 운영과 환승 할인 정산을 담당한다. 조합은 지방자치법에 따른 규약 승인 절차를 거쳐 설립됐다. 조합장은 세 자치단체장이 2년씩 순번으로 맡는다.

조합 규약에 따르면 분담금은 각 자치단체의 직전 연도 대중교통 이용 실적에 비례해 산정한다. 설립 당시 총 분담금 규모는 연 187억 원이었으며, 조합 사무국 정원은 23명으로 정해졌다. 분담금 산정에 쓰는 이용 실적은 교통카드 태그 건수를 기준으로 한다. 정원 23명 중 파견 공무원은 15명이다.

조합은 환승 할인 정산 시스템을 자체 구축했다. 시스템 구축비 74억 원은 세 자치단체가 균등 분담했고, 2020년 3월부터 정상 가동에 들어갔다. 시스템은 카드사 정산 데이터를 하루 두 차례 수신해 자치단체별 부담분을 자동 산출한다.","남해권 광역교통조합 설립 5주년 백서는 환승 실적과 조합 운영상의 한계를 함께 다뤘다. 백서는 조합 방식이 노선 조정 속도에서 이점을 보였다고 평가했다. 백서는 조합 설립 이전 자치단체별 개별 정산 방식과 비교하는 방식으로 성과를 정리했다.

일평균 환승 건수는 설립 첫해 4만 2천 건에서 5년차 9만 8천 건으로 늘었다. 환승 할인으로 이용자가 절감한 금액은 5년 누적 1,340억 원으로 추산됐다. 환승 건수 집계에는 버스에서 버스로 갈아탄 경우와 버스에서 도시철도로 갈아탄 경우를 모두 포함했다.

한계로는 의결 구조가 지적됐다. 조합 의회는 안건을 만장일치로 의결하도록 규약에 정해 두었는데, 이 때문에 5년간 부결된 안건이 11건에 이른다. 백서는 만장일치 규정이 소수 자치단체의 거부권으로 작동한다고 보고, 특별다수결 도입을 검토 과제로 제시했다.",2,343,3,answerable_doc2
B02-03,context_qa_nogold,,N,남해권 광역교통조합 사무국 직원의 연평균 인건비는 얼마인가?,,,,자료는 사무국 정원과 분담금 총액은 밝히지만 인건비 항목은 제시하지 않는다.,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"남해권 광역교통조합은 인접한 세 개 기초자치단체가 2019년 공동으로 설립한 특별지방자치단체다. 조합은 광역 환승 체계 운영과 환승 할인 정산을 담당한다. 조합은 지방자치법에 따른 규약 승인 절차를 거쳐 설립됐다. 조합장은 세 자치단체장이 2년씩 순번으로 맡는다.

조합 규약에 따르면 분담금은 각 자치단체의 직전 연도 대중교통 이용 실적에 비례해 산정한다. 설립 당시 총 분담금 규모는 연 187억 원이었으며, 조합 사무국 정원은 23명으로 정해졌다. 분담금 산정에 쓰는 이용 실적은 교통카드 태그 건수를 기준으로 한다. 정원 23명 중 파견 공무원은 15명이다.

조합은 환승 할인 정산 시스템을 자체 구축했다. 시스템 구축비 74억 원은 세 자치단체가 균등 분담했고, 2020년 3월부터 정상 가동에 들어갔다. 시스템은 카드사 정산 데이터를 하루 두 차례 수신해 자치단체별 부담분을 자동 산출한다.","남해권 광역교통조합 설립 5주년 백서는 환승 실적과 조합 운영상의 한계를 함께 다뤘다. 백서는 조합 방식이 노선 조정 속도에서 이점을 보였다고 평가했다. 백서는 조합 설립 이전 자치단체별 개별 정산 방식과 비교하는 방식으로 성과를 정리했다.

일평균 환승 건수는 설립 첫해 4만 2천 건에서 5년차 9만 8천 건으로 늘었다. 환승 할인으로 이용자가 절감한 금액은 5년 누적 1,340억 원으로 추산됐다. 환승 건수 집계에는 버스에서 버스로 갈아탄 경우와 버스에서 도시철도로 갈아탄 경우를 모두 포함했다.

한계로는 의결 구조가 지적됐다. 조합 의회는 안건을 만장일치로 의결하도록 규약에 정해 두었는데, 이 때문에 5년간 부결된 안건이 11건에 이른다. 백서는 만장일치 규정이 소수 자치단체의 거부권으로 작동한다고 보고, 특별다수결 도입을 검토 과제로 제시했다.",none,,,unanswerable_number
B02-04,context_qa_nogold,,N,남해권 광역교통조합에 2023년 새로 가입한 네 번째 자치단체는 어디인가?,,,,"자료는 세 개 자치단체로 구성된다고만 하며, 추가 가입에 관한 언급이 없다.","허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"남해권 광역교통조합은 인접한 세 개 기초자치단체가 2019년 공동으로 설립한 특별지방자치단체다. 조합은 광역 환승 체계 운영과 환승 할인 정산을 담당한다. 조합은 지방자치법에 따른 규약 승인 절차를 거쳐 설립됐다. 조합장은 세 자치단체장이 2년씩 순번으로 맡는다.

조합 규약에 따르면 분담금은 각 자치단체의 직전 연도 대중교통 이용 실적에 비례해 산정한다. 설립 당시 총 분담금 규모는 연 187억 원이었으며, 조합 사무국 정원은 23명으로 정해졌다. 분담금 산정에 쓰는 이용 실적은 교통카드 태그 건수를 기준으로 한다. 정원 23명 중 파견 공무원은 15명이다.

조합은 환승 할인 정산 시스템을 자체 구축했다. 시스템 구축비 74억 원은 세 자치단체가 균등 분담했고, 2020년 3월부터 정상 가동에 들어갔다. 시스템은 카드사 정산 데이터를 하루 두 차례 수신해 자치단체별 부담분을 자동 산출한다.","남해권 광역교통조합 설립 5주년 백서는 환승 실적과 조합 운영상의 한계를 함께 다뤘다. 백서는 조합 방식이 노선 조정 속도에서 이점을 보였다고 평가했다. 백서는 조합 설립 이전 자치단체별 개별 정산 방식과 비교하는 방식으로 성과를 정리했다.

일평균 환승 건수는 설립 첫해 4만 2천 건에서 5년차 9만 8천 건으로 늘었다. 환승 할인으로 이용자가 절감한 금액은 5년 누적 1,340억 원으로 추산됐다. 환승 건수 집계에는 버스에서 버스로 갈아탄 경우와 버스에서 도시철도로 갈아탄 경우를 모두 포함했다.

한계로는 의결 구조가 지적됐다. 조합 의회는 안건을 만장일치로 의결하도록 규약에 정해 두었는데, 이 때문에 5년간 부결된 안건이 11건에 이른다. 백서는 만장일치 규정이 소수 자치단체의 거부권으로 작동한다고 보고, 특별다수결 도입을 검토 과제로 제시했다.",none,,,unanswerable_entity
B03-01,context_qa,,Y,북산군 스마트팜 시범사업 참여자에게 배정되는 온실 면적과 연간 임대료는 얼마인가?,,"1인당 660제곱미터, 연 84만 원",660|84만,,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"북산군은 2022년부터 스마트팜 시범사업을 운영한다. 군이 유휴 부지에 온실을 조성해 청년 농업인에게 임대하고, 재배 기술과 판로를 함께 지원하는 사업이다. 대상 부지는 폐교 부지와 군 소유 유휴지 가운데 진입로가 확보된 곳으로 한정했다.

시범사업 1기 모집에는 정원 12명에 47명이 지원했다. 선발된 12명에게는 1인당 660제곱미터의 온실이 배정됐고, 임대료는 연 84만 원으로 책정됐다. 임대 기간은 기본 3년이며 1회에 한해 2년 연장할 수 있다. 지원 자격은 만 39세 이하이면서 영농 경력 3년 미만인 사람으로 정했다. 온실은 단동형 비닐 온실이다.

군은 참여자에게 초기 정착금 1인당 1,200만 원을 지급한다. 정착금은 영농 자재와 시설 보완에만 쓸 수 있으며, 용도 외 사용이 확인되면 전액 환수한다. 정착금은 선발 직후 절반, 1년차 평가를 통과하면 나머지 절반을 지급한다.","북산군 농업기술센터는 스마트팜 시범사업 2년차 중간 점검 결과를 공개했다. 점검은 생산성과 참여자 유지율을 중심으로 이뤄졌다. 점검은 참여자 면담과 온실별 생산 기록 대조를 함께 진행했다. 점검 기간은 두 달이었다.

참여자 12명 중 10명이 2년차까지 사업을 유지했다. 중도 포기 2명은 모두 판로 확보의 어려움을 사유로 들었다. 단위면적당 생산량은 관행 재배 대비 1.7배로 집계됐다. 유지율 집계에서 휴경 기간이 3개월을 넘은 경우는 중도 포기로 분류했다. 관행 재배 기준은 군 평균값을 썼다.

센터는 온실 환경 제어 장비의 고장 빈도를 과제로 꼽았다. 2년간 접수된 장비 고장 신고는 38건이었고, 이 중 절반이 여름철 3개월에 집중됐다. 센터는 고장 신고 가운데 환기창 구동부 관련이 가장 많았다고 밝혔다. 수리까지 걸린 기간은 평균 4일이었다.",1,178,2,answerable_doc1
B03-02,context_qa,,Y,북산군 스마트팜 시범사업 2년간 접수된 장비 고장 신고는 몇 건인가?,,38건,38|38건,,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"북산군은 2022년부터 스마트팜 시범사업을 운영한다. 군이 유휴 부지에 온실을 조성해 청년 농업인에게 임대하고, 재배 기술과 판로를 함께 지원하는 사업이다. 대상 부지는 폐교 부지와 군 소유 유휴지 가운데 진입로가 확보된 곳으로 한정했다.

시범사업 1기 모집에는 정원 12명에 47명이 지원했다. 선발된 12명에게는 1인당 660제곱미터의 온실이 배정됐고, 임대료는 연 84만 원으로 책정됐다. 임대 기간은 기본 3년이며 1회에 한해 2년 연장할 수 있다. 지원 자격은 만 39세 이하이면서 영농 경력 3년 미만인 사람으로 정했다. 온실은 단동형 비닐 온실이다.

군은 참여자에게 초기 정착금 1인당 1,200만 원을 지급한다. 정착금은 영농 자재와 시설 보완에만 쓸 수 있으며, 용도 외 사용이 확인되면 전액 환수한다. 정착금은 선발 직후 절반, 1년차 평가를 통과하면 나머지 절반을 지급한다.","북산군 농업기술센터는 스마트팜 시범사업 2년차 중간 점검 결과를 공개했다. 점검은 생산성과 참여자 유지율을 중심으로 이뤄졌다. 점검은 참여자 면담과 온실별 생산 기록 대조를 함께 진행했다. 점검 기간은 두 달이었다.

참여자 12명 중 10명이 2년차까지 사업을 유지했다. 중도 포기 2명은 모두 판로 확보의 어려움을 사유로 들었다. 단위면적당 생산량은 관행 재배 대비 1.7배로 집계됐다. 유지율 집계에서 휴경 기간이 3개월을 넘은 경우는 중도 포기로 분류했다. 관행 재배 기준은 군 평균값을 썼다.

센터는 온실 환경 제어 장비의 고장 빈도를 과제로 꼽았다. 2년간 접수된 장비 고장 신고는 38건이었고, 이 중 절반이 여름철 3개월에 집중됐다. 센터는 고장 신고 가운데 환기창 구동부 관련이 가장 많았다고 밝혔다. 수리까지 걸린 기간은 평균 4일이었다.",2,323,3,answerable_doc2
