question_id,question_type,question_subtype,answerable,question,context,ground_truth,acceptable_answers,why_unanswerable,verify_action,verified
A1-01,easy_factual,,Y,대한민국의 수도는 어디인가?,,서울,서울|서울특별시,,교과서·국가기관 공식 자료 URL 기록,NO
A1-02,easy_factual,,Y,3·1 운동이 일어난 해는 몇 년인가?,,1919년,1919|1919년,,교과서·국가기관 공식 자료 URL 기록,NO
A1-03,easy_factual,,Y,조선의 제4대 왕은 누구인가?,,세종,세종|세종대왕|이도,,교과서·국가기관 공식 자료 URL 기록,NO
A1-04,easy_factual,,Y,사람의 체세포 하나에 들어 있는 염색체는 모두 몇 개인가?,,46개,46|46개|23쌍,,교과서·국가기관 공식 자료 URL 기록,NO
A1-05,easy_factual,,Y,1년은 몇 개월인가?,,12개월,12|12개월|열두 달,,교과서·국가기관 공식 자료 URL 기록,NO
A1-06,easy_factual,,Y,한글을 창제한 조선의 왕은 누구인가?,,세종대왕,세종|세종대왕,,교과서·국가기관 공식 자료 URL 기록,NO
A1-07,easy_factual,,Y,대한민국의 국화(國花)는 무엇인가?,,무궁화,무궁화,,교과서·국가기관 공식 자료 URL 기록,NO
A1-08,easy_factual,,Y,지구는 태양으로부터 몇 번째 행성인가?,,세 번째,3|세 번째|셋째,,교과서·국가기관 공식 자료 URL 기록,NO
A1-09,easy_factual,,Y,1기압에서 물이 어는 온도는 섭씨 몇 도인가?,,0도,0|0도|0℃|영도,,교과서·국가기관 공식 자료 URL 기록,NO
A1-10,easy_factual,,Y,대한민국의 화폐 단위는 무엇인가?,,원,원|KRW,,교과서·국가기관 공식 자료 URL 기록,NO
A1-11,easy_factual,,Y,1주일은 며칠인가?,,7일,7|7일|이레,,교과서·국가기관 공식 자료 URL 기록,NO
A1-12,easy_factual,,Y,한글 자음 'ㄱ'의 이름은 무엇인가?,,기역,기역,,교과서·국가기관 공식 자료 URL 기록,NO
A1-13,easy_factual,,Y,대한민국 국기의 이름은 무엇인가?,,태극기,태극기,,교과서·국가기관 공식 자료 URL 기록,NO
A1-14,easy_factual,,Y,삼국시대의 세 나라는 각각 무엇인가?,,"고구려, 백제, 신라",고구려|백제|신라,,교과서·국가기관 공식 자료 URL 기록,NO
A1-15,easy_factual,,Y,지구에서 가장 넓은 대양은 무엇인가?,,태평양,태평양|Pacific,,교과서·국가기관 공식 자료 URL 기록,NO
A1-16,easy_factual,,Y,사람의 심장은 몇 개의 방으로 이루어져 있는가?,,4개,4|4개|네 개|2심방 2심실,,교과서·국가기관 공식 자료 URL 기록,NO
A1-17,easy_factual,,Y,대한민국 국회의사당이 있는 도시는 어디인가?,,서울,서울|서울특별시|여의도,,교과서·국가기관 공식 자료 URL 기록,NO
A1-18,easy_factual,,Y,광복절은 몇 월 며칠인가?,,8월 15일,8월 15일|8.15|8/15,,교과서·국가기관 공식 자료 URL 기록,NO
A1-19,easy_factual,,Y,대한민국의 공용어는 무엇인가?,,한국어,한국어|국어,,교과서·국가기관 공식 자료 URL 기록,NO
A1-20,easy_factual,,Y,소금의 주성분인 화합물의 이름은 무엇인가?,,염화나트륨,염화나트륨|NaCl,,교과서·국가기관 공식 자료 URL 기록,NO
A3-01,numeric,,Y,물의 어는점을 켈빈 단위로 나타내면 몇 K인가?,,273.15 K,273.15|273.15K|약 273K,,허용오차 규칙을 데이터 수집 전에 확정할 것,NO
A3-02,numeric,,Y,지구에서 태양까지의 평균 거리(1 AU)는 약 몇 km인가?,,약 1억 4960만 km,149600000|1.496억|약 1억 5천만 km,,허용오차 ±1%,NO
A3-03,numeric,,Y,표준 대기압은 몇 hPa인가?,,1013.25 hPa,1013|1013.25|1013.25hPa,,허용오차 규칙을 데이터 수집 전에 확정할 것,NO
A3-04,numeric,,Y,원주율을 소수점 아래 다섯째 자리까지 쓰면 얼마인가?,,3.14159,3.14159,,정확 일치만 정답 처리,NO
A3-05,numeric,,Y,지구의 적도 둘레는 약 몇 km인가?,,"약 40,075 km","40075|40,075|약 4만 km",,허용오차 ±1%,NO
A3-06,numeric,,Y,사람의 정상 체온은 섭씨 약 몇 도인가?,,약 36.5도,36.5|36.5도|약 36.5℃,,허용오차 규칙을 데이터 수집 전에 확정할 것,NO
A3-07,numeric,,Y,섭씨 15도의 공기 중에서 소리의 속력은 약 몇 m/s인가?,,약 340 m/s,340|약 340|340m/s,,허용오차 ±2%,NO
A3-08,numeric,,Y,아보가드로 수는 약 얼마인가?,,약 6.02×10^23,6.02x10^23|6.02×10^23|6.022e23,,허용오차 규칙을 데이터 수집 전에 확정할 것,NO
A3-09,numeric,,Y,지구의 평균 반지름은 약 몇 km인가?,,"약 6,371 km","6371|6,371|약 6400km",,허용오차 ±1%,NO
A3-10,numeric,,Y,지구에서 달까지의 평균 거리는 약 몇 km인가?,,약 38만 km,384400|38만|약 38만 km,,허용오차 ±2%,NO
A3-11,numeric,,Y,1마일은 약 몇 km인가?,,약 1.609 km,1.609|1.6|약 1.6km,,허용오차 규칙을 데이터 수집 전에 확정할 것,NO
A3-12,numeric,,Y,섭씨 4도에서 물 1L의 질량은 약 몇 kg인가?,,약 1 kg,1|1kg|약 1kg,,허용오차 규칙을 데이터 수집 전에 확정할 것,NO
A3-13,numeric,,Y,지구 표면에서 중력가속도는 약 몇 m/s²인가?,,약 9.8 m/s²,9.8|9.81|약 9.8,,허용오차 규칙을 데이터 수집 전에 확정할 것,NO
A3-14,numeric,,Y,대한민국의 국토 면적은 약 몇 제곱킬로미터인가?,,"약 100,400 km²","100400|약 10만|100,400",,국토교통부 공식 통계 확인 / 허용오차 ±1%,NO
A3-15,numeric,,Y,1년은 약 몇 시간인가?,,"약 8,760시간","8760|8,760|약 8760시간",,허용오차 규칙을 데이터 수집 전에 확정할 것,NO
