sample_id,run_id,model_key,prompt_type,question_id,repeat,parse_mode,format_ok
S0001,main_gemma4,gemma4,P4,A3-04,0,marker,True
S0002,main_gptoss20,gptoss20,P3,U5-04,0,marker,True
S0003,main_gptoss20,gptoss20,P0,A2-03,0,marker,True
S0004,main_qwen35,qwen35,P1,U1-05,0,marker,True
S0005,main_gemma4,gemma4,P5,U1-04,0,marker,True
S0006,main_gemma4,gemma4,P4,U2-13,0,marker,True
S0007,main_gptoss20,gptoss20,P1,A1-16,0,marker,True
S0008,main_gptoss20,gptoss20,P5,A3-12,0,marker,True
S0009,main_gptoss20,gptoss20,P5,A4-12,0,marker,True
S0010,main_gemma4,gemma4,P5,U6-01,0,marker,True
S0011,main_gemma4,gemma4,P2L,A4-04,0,marker,True
S0012,main_gptoss20,gptoss20,P4,U2-11,0,marker,True
S0013,main_gptoss20,gptoss20,P0,A2-39,0,marker,True
S0014,main_gptoss20,gptoss20,P0,U2-10,0,marker,True
S0015,main_gptoss20,gptoss20,P5,U4-S02,0,marker,True
S0016,main_gptoss20,gptoss20,P2,U6-01,0,marker,True
S0017,main_gemma4,gemma4,P3,A2-49,0,marker,True
S0018,main_gptoss20,gptoss20,P1,A2-26,0,marker,True
S0019,main_gptoss20,gptoss20,P3,A4-14,0,marker,True
S0020,main_qwen35,qwen35,P3,U2-16,0,marker,True
S0021,main_qwen35,qwen35,P2L,U5-05,0,marker,True
S0022,main_gemma4,gemma4,P2L,A3-04,0,marker,True
S0023,main_gemma4,gemma4,P5,A1-13,0,marker,True
S0024,main_gptoss20,gptoss20,P3,U1-14,0,marker,True
S0025,main_gemma4,gemma4,P2L,U3-P08,0,marker,True
S0026,main_qwen35,qwen35,P1,A4-05,0,marker,True
S0027,main_gptoss20,gptoss20,P5,U1-12,0,marker,True
S0028,main_gemma4,gemma4,P1,U4-S01,0,marker,True
S0029,main_gemma4,gemma4,P0,U6-01,0,marker,True
S0030,main_gptoss20,gptoss20,P2,A2-36,0,marker,True
S0031,main_gemma4,gemma4,P2,A4-04,0,marker,True
S0032,main_gemma4,gemma4,P0,U1-10,0,marker,True
S0033,main_qwen35,qwen35,P1,A3-05,0,marker,True
S0034,main_gemma4,gemma4,P1,A1-11,0,marker,True
S0035,main_gemma4,gemma4,P4,U4-F04,0,marker,True
S0036,main_qwen35,qwen35,P2L,U6-05,0,marker,True
S0037,main_gemma4,gemma4,P1,U3-A05,0,marker,True
S0038,main_gemma4,gemma4,P2L,U3-E04,0,marker,True
S0039,main_qwen35,qwen35,P2,U2-07,0,marker,True
S0040,main_gemma4,gemma4,P1,A4-11,0,marker,True
S0041,main_gemma4,gemma4,P4,U1-08,0,marker,True
S0042,main_gemma4,gemma4,P3,U2-04,0,marker,True
S0043,main_gptoss20,gptoss20,P2,U6-03,0,marker,True
