question_id,question_type,question_subtype,answerable,question,context,ground_truth,acceptable_answers,why_unanswerable,verify_action,verified
A1-01,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-02,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-03,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-04,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-05,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-06,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-07,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-08,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-09,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-10,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-11,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-12,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-13,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-14,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-15,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-16,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-17,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-18,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-19,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A1-20,easy_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A2-01,hard_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A2-02,hard_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A2-03,hard_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A2-04,hard_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A2-05,hard_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A2-06,hard_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A2-07,hard_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A2-08,hard_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A2-09,hard_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
A2-10,hard_factual,,Y,,,,,,교과서·국가기관·공식 DB 등 출처 URL 기록,NO
