question_id,question_type,question_subtype,answerable,question,context,ground_truth,acceptable_answers,why_unanswerable,verify_action,verified,match_mode,tolerance_pct,reject_answers
A1-01,easy_factual,,Y,대한민국의 수도는 어디인가?,,서울,서울|서울특별시,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-02,easy_factual,,Y,3·1 운동이 일어난 해는 몇 년인가?,,1919년,1919|1919년,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-03,easy_factual,,Y,조선의 제4대 왕은 누구인가?,,세종,세종|세종대왕|이도,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-04,easy_factual,,Y,사람의 체세포 하나에 들어 있는 염색체는 모두 몇 개인가?,,46개,46|46개|23쌍,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-05,easy_factual,,Y,1년은 몇 개월인가?,,12개월,12|12개월|열두 달,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-06,easy_factual,,Y,한글을 창제한 조선의 왕은 누구인가?,,세종대왕,세종|세종대왕,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-07,easy_factual,,Y,대한민국의 국화(國花)는 무엇인가?,,무궁화,무궁화,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-08,easy_factual,,Y,지구는 태양으로부터 몇 번째 행성인가?,,세 번째,3|세 번째|셋째,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-09,easy_factual,,Y,1기압에서 물이 어는 온도는 섭씨 몇 도인가?,,0도,0|0도|0℃|영도,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-10,easy_factual,,Y,대한민국의 화폐 단위는 무엇인가?,,원,원|KRW,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-11,easy_factual,,Y,1주일은 며칠인가?,,7일,7|7일|이레,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-12,easy_factual,,Y,한글 자음 'ㄱ'의 이름은 무엇인가?,,기역,기역,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-13,easy_factual,,Y,대한민국 국기의 이름은 무엇인가?,,태극기,태극기,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-14,easy_factual,,Y,삼국시대의 세 나라는 각각 무엇인가?,,"고구려, 백제, 신라",고구려|백제|신라,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-15,easy_factual,,Y,지구에서 가장 넓은 대양은 무엇인가?,,태평양,태평양|Pacific,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-16,easy_factual,,Y,사람의 심장은 몇 개의 방으로 이루어져 있는가?,,4개,4|4개|네 개|2심방 2심실,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-17,easy_factual,,Y,대한민국 국회의사당이 있는 도시는 어디인가?,,서울,서울|서울특별시|여의도,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-18,easy_factual,,Y,광복절은 몇 월 며칠인가?,,8월 15일,8월 15일|8.15|8/15,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-19,easy_factual,,Y,대한민국의 공용어는 무엇인가?,,한국어,한국어|국어,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A1-20,easy_factual,,Y,소금의 주성분인 화합물의 이름은 무엇인가?,,염화나트륨,염화나트륨|NaCl,,교과서·국가기관 공식 자료 URL 기록,NO,,,
A2-01,hard_factual,,Y,훈민정음이 반포된 해는 몇 년인가?,,1446년,1446|1446년|세종 28년,,교과서/국사편찬위원회 등 공식 출처 URL 기록 / 창제 1443년과 반드시 구분,NO,,,
A2-02,hard_factual,,Y,임진왜란이 시작된 해는 몇 년인가?,,1592년,1592|1592년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-03,hard_factual,,Y,훈민정음이 창제된 해는 몇 년인가?,,1443년,1443|1443년|세종 25년,,교과서/국사편찬위원회 등 공식 출처 URL 기록 / 반포 1446년과 반드시 구분,NO,,,
A2-04,hard_factual,,Y,고려를 건국한 인물은 누구인가?,,왕건,왕건|태조 왕건|고려 태조,,[예비확인 2026-09-05] 고려 건국자 왕건 확인 / 교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-05,hard_factual,,Y,고려가 건국된 해는 몇 년인가?,,918년,918|918년,,"[예비확인 2026-09-05] 고려 건국 918년, 왕건 확인 / 교과서/국사편찬위원회 등 공식 출처 URL 기록",NO,,,
A2-06,hard_factual,,Y,조선을 건국한 인물은 누구인가?,,이성계,이성계|태조 이성계|조선 태조,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-07,hard_factual,,Y,조선이 건국된 해는 몇 년인가?,,1392년,1392|1392년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-08,hard_factual,,Y,병자호란이 일어난 해는 몇 년인가?,,1636년,1636|1636년,,[예비확인 2026-09-05] [미확인] 병자호란 1636년을 웹검색으로 직접 확인하지 못함. 교과서로 확인할 것 / 교과서/국사편찬위원회 등 공식 출처 URL 기록 / 정묘호란 1627년과 구분,NO,,,
A2-09,hard_factual,,Y,강화도조약(조일수호조규)이 체결된 해는 몇 년인가?,,1876년,1876|1876년,,[예비확인 2026-09-05] 강화도조약 1876년(고종 13) 확인 / 교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-10,hard_factual,,Y,갑오개혁이 시작된 해는 몇 년인가?,,1894년,1894|1894년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-11,hard_factual,,Y,을사늑약이 체결된 해는 몇 년인가?,,1905년,1905|1905년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-12,hard_factual,,Y,6·25 전쟁이 발발한 날짜는 언제인가?,,1950년 6월 25일,1950년 6월 25일|1950-06-25|1950.6.25,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-13,hard_factual,,Y,4·19 혁명이 일어난 해는 몇 년인가?,,1960년,1960|1960년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-14,hard_factual,,Y,5·18 민주화운동이 일어난 해는 몇 년인가?,,1980년,1980|1980년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-15,hard_factual,,Y,6월 민주항쟁이 일어난 해는 몇 년인가?,,1987년,1987|1987년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-16,hard_factual,,Y,한산도 대첩을 승리로 이끈 인물은 누구인가?,,이순신,이순신|이순신 장군,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-17,hard_factual,,Y,『동의보감』을 저술한 인물은 누구인가?,,허준,허준,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-18,hard_factual,,Y,대동여지도를 제작한 인물은 누구인가?,,김정호,김정호|고산자 김정호,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO,,,
A2-19,hard_factual,,Y,발해를 건국한 인물은 누구인가?,,대조영,대조영|고왕 대조영,,"[예비확인 2026-09-05] 발해 건국 698년, 대조영 확인 / 교과서/국사편찬위원회 등 공식 출처 URL 기록",NO,,,
A2-20,hard_factual,,Y,고구려가 멸망한 해는 몇 년인가?,,668년,668|668년,,[예비확인 2026-09-05] 고구려 멸망 668년(나당연합군) 확인 / 교과서/국사편찬위원회 등 공식 출처 URL 기록 / 백제 멸망 660년과 구분,NO,,,
A2-21,hard_factual,,Y,광합성에서 빛에너지를 흡수하는 주된 색소의 이름은 무엇인가?,,엽록소 a,엽록소|엽록소 a|클로로필|클로로필 a,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-22,hard_factual,,Y,원소 기호 Na는 어떤 원소를 나타내는가?,,나트륨,나트륨|소듐|sodium,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-23,hard_factual,,Y,원소 기호 K는 어떤 원소를 나타내는가?,,칼륨,칼륨|포타슘|potassium,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-24,hard_factual,,Y,물질량을 나타내는 국제단위계(SI) 기본 단위는 무엇인가?,,몰(mol),몰|mol|몰(mol),,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-25,hard_factual,,Y,진공에서 빛의 속력은 약 몇 m/s인가?,,약 3×10^8 m/s,3x10^8|3×10^8|299792458|약 30만 km/s,,"[예비확인 2026-09-05] [주의] 빛의 속력은 정확값 299,792,458 m/s. '약 3×10^8'까지 정답 처리할지 기준을 먼저 확정 / 교과서/과학 표준자료 출처 URL 기록 / 값의 유효숫자·기준 정의가 갈릴 수 있음. 허용 답안 범위를 먼저 확정할 것",NO,,1.0,
A2-26,hard_factual,,Y,감수분열로 만들어진 생식세포의 염색체 수는 체세포의 몇 분의 1인가?,,2분의 1,2분의 1|1/2|절반,,교과서/과학 표준자료 출처 URL 기록,NO,,,
