question_id,question_type,question_subtype,answerable,question,context,ground_truth,acceptable_answers,why_unanswerable,verify_action,verified
A2-01,hard_factual,,Y,훈민정음이 반포된 해는 몇 년인가?,,1446년,1446|1446년|세종 28년,,교과서/국사편찬위원회 등 공식 출처 URL 기록 / 창제 1443년과 반드시 구분,NO
A2-02,hard_factual,,Y,임진왜란이 시작된 해는 몇 년인가?,,1592년,1592|1592년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-03,hard_factual,,Y,훈민정음이 창제된 해는 몇 년인가?,,1443년,1443|1443년|세종 25년,,교과서/국사편찬위원회 등 공식 출처 URL 기록 / 반포 1446년과 반드시 구분,NO
A2-04,hard_factual,,Y,고려를 건국한 인물은 누구인가?,,왕건,왕건|태조 왕건|고려 태조,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-05,hard_factual,,Y,고려가 건국된 해는 몇 년인가?,,918년,918|918년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-06,hard_factual,,Y,조선을 건국한 인물은 누구인가?,,이성계,이성계|태조 이성계|조선 태조,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-07,hard_factual,,Y,조선이 건국된 해는 몇 년인가?,,1392년,1392|1392년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-08,hard_factual,,Y,병자호란이 일어난 해는 몇 년인가?,,1636년,1636|1636년,,교과서/국사편찬위원회 등 공식 출처 URL 기록 / 정묘호란 1627년과 구분,NO
A2-09,hard_factual,,Y,강화도조약(조일수호조규)이 체결된 해는 몇 년인가?,,1876년,1876|1876년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-10,hard_factual,,Y,갑오개혁이 시작된 해는 몇 년인가?,,1894년,1894|1894년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-11,hard_factual,,Y,을사늑약이 체결된 해는 몇 년인가?,,1905년,1905|1905년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-12,hard_factual,,Y,6·25 전쟁이 발발한 날짜는 언제인가?,,1950년 6월 25일,1950년 6월 25일|1950-06-25|1950.6.25,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-13,hard_factual,,Y,4·19 혁명이 일어난 해는 몇 년인가?,,1960년,1960|1960년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-14,hard_factual,,Y,5·18 민주화운동이 일어난 해는 몇 년인가?,,1980년,1980|1980년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-15,hard_factual,,Y,6월 민주항쟁이 일어난 해는 몇 년인가?,,1987년,1987|1987년,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-16,hard_factual,,Y,한산도 대첩을 승리로 이끈 인물은 누구인가?,,이순신,이순신|이순신 장군,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-17,hard_factual,,Y,『동의보감』을 저술한 인물은 누구인가?,,허준,허준,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-18,hard_factual,,Y,대동여지도를 제작한 인물은 누구인가?,,김정호,김정호|고산자 김정호,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-19,hard_factual,,Y,발해를 건국한 인물은 누구인가?,,대조영,대조영|고왕 대조영,,교과서/국사편찬위원회 등 공식 출처 URL 기록,NO
A2-20,hard_factual,,Y,고구려가 멸망한 해는 몇 년인가?,,668년,668|668년,,교과서/국사편찬위원회 등 공식 출처 URL 기록 / 백제 멸망 660년과 구분,NO
A2-21,hard_factual,,Y,광합성에서 빛에너지를 흡수하는 주된 색소의 이름은 무엇인가?,,엽록소 a,엽록소|엽록소 a|클로로필|클로로필 a,,교과서/과학 표준자료 출처 URL 기록,NO
A2-22,hard_factual,,Y,원소 기호 Na는 어떤 원소를 나타내는가?,,나트륨,나트륨|소듐|sodium,,교과서/과학 표준자료 출처 URL 기록,NO
A2-23,hard_factual,,Y,원소 기호 K는 어떤 원소를 나타내는가?,,칼륨,칼륨|포타슘|potassium,,교과서/과학 표준자료 출처 URL 기록,NO
A2-24,hard_factual,,Y,물질량을 나타내는 국제단위계(SI) 기본 단위는 무엇인가?,,몰(mol),몰|mol|몰(mol),,교과서/과학 표준자료 출처 URL 기록,NO
A2-25,hard_factual,,Y,진공에서 빛의 속력은 약 몇 m/s인가?,,약 3×10^8 m/s,3x10^8|3×10^8|299792458|약 30만 km/s,,교과서/과학 표준자료 출처 URL 기록 / 값의 유효숫자·기준 정의가 갈릴 수 있음. 허용 답안 범위를 먼저 확정할 것,NO
A2-26,hard_factual,,Y,감수분열로 만들어진 생식세포의 염색체 수는 체세포의 몇 분의 1인가?,,2분의 1,2분의 1|1/2|절반,,교과서/과학 표준자료 출처 URL 기록,NO
A2-27,hard_factual,,Y,"산성 용액의 pH는 7보다 큰가, 작은가?",,7보다 작다,작다|7보다 작다|이하,,교과서/과학 표준자료 출처 URL 기록,NO
A2-28,hard_factual,,Y,중성 용액의 pH 값은 얼마인가?,,7,7|pH 7,,교과서/과학 표준자료 출처 URL 기록,NO
A2-29,hard_factual,,Y,뉴턴의 운동 제2법칙을 식으로 나타내면 무엇인가?,,F = ma,F=ma|F = ma|힘=질량×가속도,,교과서/과학 표준자료 출처 URL 기록,NO
A2-30,hard_factual,,Y,1기압에서 물의 끓는점은 섭씨 몇 도인가?,,100도,100|100도|100℃,,교과서/과학 표준자료 출처 URL 기록,NO
