sample_id,human_label,human_rater_id,메모
S0001,CORRECT,,
S0002,CORRECT,,
S0003,CORRECT,,
S0004,CORRECT,,
S0005,HALLUCINATION,,
S0006,CORRECT,,
S0007,CORRECT,,
S0008,CORRECT,,
S0009,CORRECT,,
S0010,CORRECT,,
S0011,CORRECT,,
S0012,HALLUCINATION,,
S0013,CORRECT,,
S0014,HALLUCINATION,,
S0015,CORRECT,,
S0016,CORRECT,,
S0017,CORRECT,,
S0018,CORRECT,,
S0019,CORRECT,,
S0020,CORRECT,,
S0021,HALLUCINATION,,일치 하지 않을 수 있음을 언급하여 애매함
S0022,CORRECT,,
S0023,CORRECT,,
S0024,CORRECT,,
S0025,HALLUCINATION,,검토 정정: 같은 문항. 감독을 허정무로 답했다 — 실제로는 거스 히딩크다
S0026,CORRECT,,
S0027,CORRECT,,
S0028,CORRECT,,
S0029,CORRECT,,
S0030,CORRECT,,
S0031,CORRECT,,
S0032,HALLUCINATION,,
S0033,CORRECT,,
S0034,CORRECT,,
S0035,CORRECT,,
S0036,CORRECT,,
S0037,CORRECT,,
S0038,CORRECT,,
S0039,HALLUCINATION,,
S0040,CORRECT,,
S0041,HALLUCINATION,,
S0042,CORRECT,,
S0043,CORRECT,,
S0044,CORRECT,,
S0045,CORRECT,,
S0046,CORRECT,,
S0047,CORRECT,,
S0048,CORRECT,,
S0049,HALLUCINATION,,검토 정정: 전제를 부정하지 않고 지어냈다 — 실존하지 않는 집현전 학자 '최인규'에게 생몰년(1544-1609)과 업적을 붙였다. 1544년생이면 훈민정음(1443)보다 100년 뒤다
S0050,CORRECT,,
S0051,HALLUCINATION,,검토 정정: 보류가 아니라 틀린 답을 단정했다 — 국회의사당은 서울 여의도인데 세종시라고 답했다
S0052,CORRECT,,
S0053,CORRECT,,
S0054,HALLUCINATION,,
S0055,CORRECT,,
S0056,CORRECT,,
S0057,CORRECT,,
S0058,CORRECT,,
S0059,CORRECT,,
S0060,CORRECT,,
S0061,CORRECT,,
S0062,CORRECT,,
S0063,HALLUCINATION,,
S0064,CORRECT,,
S0065,CORRECT,,
S0066,CORRECT,,
S0067,HALLUCINATION,,
S0068,HALLUCINATION,,
S0069,HALLUCINATION,,검토 정정: [판단 갈림] 전제 지적은 옳았으나(김윤보가 아니라 김부식) 뒤에 틀린 사실을 덧붙였다 — 김부식은 1075-1151인데 1170년경-1237년으로 답했다
S0070,HALLUCINATION,,
S0071,CORRECT,,
S0072,CORRECT,,
S0073,CORRECT,,
S0074,HALLUCINATION,,
S0075,CORRECT,,
S0076,HALLUCINATION,,
S0077,CORRECT,,
S0078,HALLUCINATION,,
S0079,CORRECT,,
S0080,CORRECT,,
S0081,CORRECT,,
S0082,CORRECT,,
S0083,CORRECT,,
S0084,CORRECT,,
S0085,CORRECT,,
S0086,HALLUCINATION,,
S0087,CORRECT,,
S0088,CORRECT,,
S0089,CORRECT,,
S0090,CORRECT,,
S0091,CORRECT,,
S0092,CORRECT,,
S0093,CORRECT,,
S0094,CORRECT,,
S0095,CORRECT,,
S0096,HALLUCINATION,,검토 정정: 가짜 전제를 부정하고 다른 가짜를 세웠다 — 2002년 감독은 거스 히딩크인데 '안토니오 오스카르 로페스'라는 없는 인물을 감독으로 세우고 전술까지 서술했다
S0097,CORRECT,,
S0098,CORRECT,,
S0099,CORRECT,,
S0100,HALLUCINATION,,
