question_id,question_type,question_subtype,answerable,question,context,ground_truth,acceptable_answers,why_unanswerable,verify_action,verified
A4-01,context_qa,,Y,"위 문서를 근거로, A시의 2024년 인구는 몇 명인가?","2024년 A시의 인구는 32만 명으로 전년 대비 1.2% 감소했다. A시의 주요 산업은 관광업이며, 2024년 시 예산 8,400억 원 가운데 18%가 관광 분야에 배정되었다. A시는 2023년부터 매년 4월에 '바다축제'를 열고 있으며, 2024년 축제는 나흘간 진행되었다.",32만 명,32만|320000|32만 명|32만명,,지문 자체가 근거이므로 외부 검증 불필요,YES
A4-02,context_qa,,Y,"위 문서를 근거로, A시의 2024년 시 예산 총액은 얼마인가?","2024년 A시의 인구는 32만 명으로 전년 대비 1.2% 감소했다. A시의 주요 산업은 관광업이며, 2024년 시 예산 8,400억 원 가운데 18%가 관광 분야에 배정되었다. A시는 2023년부터 매년 4월에 '바다축제'를 열고 있으며, 2024년 축제는 나흘간 진행되었다.","8,400억 원","8400억|8,400억|8400억 원",,지문 자체가 근거이므로 외부 검증 불필요,YES
A4-03,context_qa,,Y,"위 문서를 근거로, A시 예산 중 관광 분야에 배정된 비율은 몇 퍼센트인가?","2024년 A시의 인구는 32만 명으로 전년 대비 1.2% 감소했다. A시의 주요 산업은 관광업이며, 2024년 시 예산 8,400억 원 가운데 18%가 관광 분야에 배정되었다. A시는 2023년부터 매년 4월에 '바다축제'를 열고 있으며, 2024년 축제는 나흘간 진행되었다.",18%,18|18%|18퍼센트,,지문 자체가 근거이므로 외부 검증 불필요,YES
A4-04,context_qa,,Y,"위 문서를 근거로, 2024년 바다축제는 며칠 동안 진행되었는가?","2024년 A시의 인구는 32만 명으로 전년 대비 1.2% 감소했다. A시의 주요 산업은 관광업이며, 2024년 시 예산 8,400억 원 가운데 18%가 관광 분야에 배정되었다. A시는 2023년부터 매년 4월에 '바다축제'를 열고 있으며, 2024년 축제는 나흘간 진행되었다.",나흘,나흘|4일|나흘간|사흘 아님,,지문 자체가 근거이므로 외부 검증 불필요,YES
A4-05,context_qa,,Y,"위 문서를 근거로, 한빛물산의 2025년 3분기 매출은 얼마인가?","한빛물산의 2025년 3분기 매출은 1,240억 원으로 직전 분기보다 60억 원 늘었다. 같은 기간 영업이익은 88억 원이었다. 이 회사는 3분기에 물류창고 두 곳을 새로 열었으며, 분기 말 기준 직원 수는 1,150명이다.","1,240억 원","1240억|1,240억|1240억 원",,지문 자체가 근거이므로 외부 검증 불필요,YES
A4-06,context_qa,,Y,"위 문서를 근거로, 한빛물산의 2025년 3분기 영업이익은 얼마인가?","한빛물산의 2025년 3분기 매출은 1,240억 원으로 직전 분기보다 60억 원 늘었다. 같은 기간 영업이익은 88억 원이었다. 이 회사는 3분기에 물류창고 두 곳을 새로 열었으며, 분기 말 기준 직원 수는 1,150명이다.",88억 원,88억|88억 원,,지문 자체가 근거이므로 외부 검증 불필요,YES
A4-07,context_qa,,Y,"위 문서를 근거로, 한빛물산의 분기 말 직원 수는 몇 명인가?","한빛물산의 2025년 3분기 매출은 1,240억 원으로 직전 분기보다 60억 원 늘었다. 같은 기간 영업이익은 88억 원이었다. 이 회사는 3분기에 물류창고 두 곳을 새로 열었으며, 분기 말 기준 직원 수는 1,150명이다.","1,150명","1150|1,150|1150명|1,150명",,지문 자체가 근거이므로 외부 검증 불필요,YES
A4-08,context_qa,,Y,"위 문서를 근거로, 한빛물산의 2025년 2분기 매출은 얼마인가?","한빛물산의 2025년 3분기 매출은 1,240억 원으로 직전 분기보다 60억 원 늘었다. 같은 기간 영업이익은 88억 원이었다. 이 회사는 3분기에 물류창고 두 곳을 새로 열었으며, 분기 말 기준 직원 수는 1,150명이다.","1,180억 원","1180억|1,180억|1180억 원",,"지문 자체가 근거이므로 외부 검증 불필요 / 지문에서 1,240-60으로 도출되는 계산형 문항",YES
A4-09,context_qa,,Y,"위 문서를 근거로, 광주기 16시간 집단의 4주 후 평균 잎 길이는 몇 cm인가?","연구팀은 동일한 품종의 상추 씨앗 300개를 100개씩 세 집단으로 나누어 각각 12시간, 16시간, 20시간의 광주기를 적용했다. 4주 후 측정한 평균 잎 길이는 각각 8.2cm, 11.5cm, 10.1cm였다. 재배 온도는 세 집단 모두 22도로 유지했다.",11.5cm,11.5|11.5cm|11.5 cm,,지문 자체가 근거이므로 외부 검증 불필요,YES
A4-10,context_qa,,Y,"위 문서를 근거로, 각 집단에 배정된 씨앗은 몇 개인가?","연구팀은 동일한 품종의 상추 씨앗 300개를 100개씩 세 집단으로 나누어 각각 12시간, 16시간, 20시간의 광주기를 적용했다. 4주 후 측정한 평균 잎 길이는 각각 8.2cm, 11.5cm, 10.1cm였다. 재배 온도는 세 집단 모두 22도로 유지했다.",100개,100|100개,,지문 자체가 근거이므로 외부 검증 불필요,YES
